Age.Group,Ethnicity,Gender,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
58,Maori,Total,2240,2230,2290,2450,2560,2600,2700,3010,2960,2880,2850,3000,3160,3320,3730,3950,4060,4350,4410,4550,4730,4870,5110
59,Maori,Total,2060,2200,2190,2250,2410,2510,2560,2650,2950,2920,2830,2810,2960,3100,3270,3690,3900,4000,4280,4350,4470,4670,4790
60,Maori,Total,1900,2020,2150,2150,2200,2350,2460,2500,2600,2890,2870,2780,2770,2920,3040,3220,3640,3830,3930,4220,4290,4400,4590
61,Maori,Total,1790,1860,1980,2110,2100,2150,2300,2410,2450,2540,2830,2820,2740,2730,2860,2980,3170,3570,3750,3870,4150,4210,4330
62,Maori,Total,1630,1750,1820,1930,2060,2040,2100,2240,2350,2380,2490,2770,2770,2690,2680,2810,2920,3100,3490,3680,3810,4080,4130
63,Maori,Total,1510,1590,1710,1770,1880,1990,1980,2040,2180,2290,2320,2430,2700,2710,2640,2630,2750,2870,3030,3410,3620,3740,4010
64,Maori,Total,1380,1470,1540,1660,1730,1830,1930,1930,1980,2120,2230,2280,2390,2640,2650,2570,2570,2680,2810,2970,3340,3540,3660
65,Maori,Total,1280,1340,1420,1500,1620,1670,1760,1870,1870,1930,2070,2180,2230,2330,2570,2590,2510,2500,2620,2750,2910,3260,3470
66,Maori,Total,1150,1250,1300,1380,1450,1550,1600,1690,1810,1810,1880,2000,2120,2190,2280,2490,2520,2450,2440,2560,2680,2830,3200
67,Maori,Total,1030,1120,1210,1250,1330,1390,1490,1540,1630,1740,1740,1810,1930,2050,2140,2230,2430,2450,2380,2380,2510,2620,2760
68,Maori,Total,890,990,1080,1170,1210,1270,1330,1430,1480,1570,1680,1670,1740,1870,1980,2090,2160,2370,2380,2320,2300,2430,2550
69,Maori,Total,820,860,960,1040,1120,1160,1210,1280,1380,1420,1500,1620,1610,1660,1800,1920,2030,2090,2290,2300,2250,2230,2360
70,Maori,Total,740,790,830,920,1000,1080,1110,1140,1220,1320,1350,1430,1540,1540,1590,1740,1850,1970,2020,2210,2240,2180,2170
71,Maori,Total,680,710,760,790,880,950,1020,1060,1080,1170,1260,1290,1370,1460,1480,1530,1680,1790,1890,1940,2130,2160,2110
72,Maori,Total,590,650,680,730,760,830,900,970,1000,1030,1110,1190,1230,1300,1390,1420,1470,1610,1700,1820,1870,2060,2080
73,Maori,Total,530,560,610,640,690,720,790,850,920,950,970,1060,1140,1170,1230,1320,1350,1410,1540,1640,1750,1790,1980
74,Maori,Total,500,500,530,580,610,640,670,740,800,870,900,920,1000,1090,1100,1170,1250,1270,1340,1480,1590,1680,1720
75,Maori,Total,440,470,470,500,550,570,600,630,690,750,820,840,870,950,1040,1050,1100,1190,1210,1280,1400,1520,1600
76,Maori,Total,400,410,440,450,470,520,530,570,590,640,700,780,780,820,900,980,990,1050,1140,1150,1210,1330,1440
